form,family,distribution,priority,polarity
beschleunigt,Beschleunigung,1,0,0
Anteil,Teil,1,0,0
Folgen,Folge,0,0,0
zugrundegeht,Zugrunde,0,0,1
stattfindet,Stattfinden,0,0,0
gemachte,Machen,0,0,0
befördert,Fördern,1,0,0
führten,Führen,0,0,0
Ursache,Ursache,0,0,0
Folge,Folge,0,0,0
durch,Durch,0,0,0
weil,Weil,0,0,0
treiben,Antreiben,1,0,0
fördert,Fördern,1,0,0
ausgelöst,Auslösen,0,0,0
aufzuhalten,Aufhalten,0,0,1
gegen,Gegen,0,0,1
verhindern,Verhindern,0,0,1
ausgelöste,Auslösen,0,0,0
Kampf,Kampf,0,0,1
beim,Bei,0,0,0
profitieren,Profitieren,1,0,0
verursacht,Ursache,0,0,0
einschränken,Einschränkung,1,0,1
Preis,Preis,0,0,1
gebiert,Gebären,0,0,0
Hauptschuldige,Schuld,0,1,0
Verantwortlich,Verantwortung,0,0,0
vorgeht,Gehen,0,0,0
Teilaspekt,Aspekt,1,0,0
wie,Wie,0,0,0
bestimmen,Bestimmen,0,0,0
stoppen,Stoppen,0,0,1
Ausdruck,Ausdruck,0,0,0
Freibrief,Freibrief,0,0,0
verantwortlich,Verantwortung,0,0,0
löst,Auslösen,0,0,0
Grund,Grund,0,0,0
Hauptursache,Ursache,0,1,0
Trendwende,Wende,0,0,1
Anpassungen,Anpassung,0,0,1
Falls,Falls,0,0,0
aufgehalten,Aufhalten,0,0,1
bedrohen,Bedrohen,0,1,1
bremst,Bremsen,1,0,1
beigetragen,Beitrag,1,0,0
Schlüsselstellung,Stellung,0,1,0
Verursacherbereich,Ursache,0,0,0
findet,Finden,0,0,0
bremsen,Bremsen,1,0,1
führt,Führen,0,0,0
stemmt,Stemmen,1,0,1
Maßnahmen,Maßnahme,0,0,0
entgegenwirken,Entgegenwirken,0,0,1
bekämpfen,Kampf,0,0,1
beschleunigen,Beschleunigung,1,0,0
ist,Sein,0,0,0
Fakten,Fakt,0,0,0
bedroht,Bedrohen,0,0,1
Einfluss,Einfluss,1,0,0
trägt,Beitrag,1,0,0
erkennen,Erkennen,0,0,0
erklären,Erklärung,0,0,0
Gang,Gang,0,0,0
folgt,Folge,0,0,0
Anstoß,Anstoß,0,0,0
zusammenhängen,Zusammenhang,0,0,0
vernichteten,Vernichtung,0,0,1
sinken,Sinken,0,0,0
verursachten,Ursache,0,0,0
steht,Stehen,0,0,0
führen,Führen,0,0,0
verstärkt,Verstärken,1,0,0
trage,Beitrag,1,0,0
deshalb,Deshalb,0,0,0
aufhalten,Aufhalten,0,0,1
auslösten,Auslösen,0,0,0
verringern,Verringern,1,0,1
verschwindet,Verschwinden,0,0,1
nach,Nach,0,0,0
reduzieren,Reduzieren,1,0,1
verursachte,Ursache,0,0,0
betroffen,Betreffen,0,0,1
beitragen,Beitrag,1,0,0
geführt,Führen,0,0,0
beiträgt,Beitrag,1,0,0
Schlüsselfaktor,Faktor,0,1,0
vorzugehen,Gehen,0,0,1
resultieren,Resultat,0,0,0
tun,Tun,0,0,0
mitverantwortlich,Verantwortung,0,0,0
Hauptgrund,Grund,0,1,0
aufgrund,Grund,0,0,0
resultierenden,Resultat,0,0,0
drohten,Bedrohen,0,0,1
kämpft,Kampf,0,0,1
Durch,Durch,0,0,0
bedeutet,Bedeuten,0,0,0
Bedeutung,Bedeuten,0,0,0
Kampagne,Kampagne,0,0,0
Faktor,Faktor,0,0,0
einzudämmen,Eindämmung,1,0,1
bekommen,Bekommen,0,0,0
Anzeichen,Zeichen,0,0,0
kam,Kommen,0,0,0
Verlust,Verlust,0,0,1
Hauptursachen,Ursache,0,1,0
Gefahr,Gefahr,0,0,1
gestoppt,Stoppen,0,0,1
heißt,Heißen,0,0,0
beeinträchtigen,Beeinträchtigen,1,0,1
umkehren,Umkehren,0,0,1
verlorengingen,Verloren,0,0,1
tragen,Beitrag,1,0,0
entstanden,Entstehen,0,0,0
zugrunde,Zugrunde,0,0,1
Plan,Plan,0,0,0
entfaltet,Entfalten,0,0,0
anzulasten,Last,0,0,0
Führt,Führen,0,0,0
fördere,Fördern,1,0,0
Schuld,Schuld,0,0,0
Auswirkungen,Wirkung,0,0,0
Hauptschuld,Schuld,0,1,0
Gründe,Grund,0,0,0
Gange,Gehen,0,0,0
verursachen,Ursache,0,0,0
erreicht,Erreichen,0,0,0
mit,Mit,0,0,0
führte,Führen,0,0,0
erzeugte,Erzeugen,0,0,0
Tropfen,Tropen,0,0,0
auswirken,Wirkung,0,0,0
gegeben,Geben,0,0,0
wegen,Wegen,0,0,0
Signaturen,Signatur,0,0,0
trügen,Trügen,0,0,0
wenn,Wenn,0,0,0
Schuld .,Schuld,0,0,0
verantwortet,Verantwortung,0,0,0
bedeuten,Bedeuten,0,0,0
Wenn,Wenn,0,0,0
Verschärfung,Verschärfung,1,0,0
anzuschreiben,Anschreiben,0,0,0
Pläne,Plan,0,0,0
Hauptgründe,Grund,1,0,0
Mitschuld,Schuld,1,0,0
Beitrag,Beitrag,1,0,0
Schluss,Schluss,0,0,0
Belastung,Belastung,0,0,0
lösen,Auslösen,0,0,0
Bedrohung,Bedrohen,0,0,1
Bremse,Bremsen,1,0,0
zum,Zum,0,0,0
einzuhegen,Einhegen,1,0,1
organisierst,Organisieren,0,0,0
verschärft,Verschärfen,1,0,0
Kollateralschäden,Schaden,0,0,0
Folgekosten,Kosten,0,0,0
Verursacher,Ursache,0,0,0
Antreiber,Antreiben,0,0,0
Einhalt,Einhalt,0,0,0
schuld,Schuld,0,0,0
Hauptschuldiger,Schuld,0,1,0
trotz,Trotz,0,0,0
dahintersteckt,Stecken,0,0,0
machbar,Machen,0,0,0
Griff,Griff,0,0,0
zu,Zu,0,0,0
verantwortungsvolle,Verantwortung,0,0,0
Zusammenhang,Zusammenhang,0,0,0
verarmt,Verarment,0,0,0
beendete,Enden,0,0,0
zu tun,Tun,0,0,0
Konsequenzen,Konsequenz,0,0,0
Dimension,Dimension,0,0,0
Haupttreiber,Antreiben,0,1,0
wirkt,Wirkung,0,0,0
nötig,Nötig,0,0,0
gebietet,Gebieten,0,0,0
Symptome,Symptom,0,0,0
ändern,Änderung,0,0,0
bringt,Bringen,0,0,0
selbstgemacht,Machen,0,0,0
Kosten,Kosten,0,0,0
bei,Bei,0,0,0
endet,Enden,0,0,0
Antwort,Antwort,0,0,0
erhöhen,Erhöhung,1,0,0
anrichten,Anrichten,0,0,0
Zeichen,Zeichen,0,0,0
durch,Durch,0,0,0
klimabedingt,Klimabedingt,0,0,0
resultiert,Resultat,0,0,0
Ausdruck,Ausdruck,0,0,0
Konto,Konto,0,0,0
beitragen,Beitrag,1,0,0
mitverantwortlichen,Verantwortung,1,0,0
Auslöse,Auslösen,0,0,0
verantwortlich,Verantwortung,0,0,0
gesorgt,Sorgen,0,0,0
ursächlichen,Ursache,0,0,0
betroffener,Betreffen,0,0,1
bedeutet,Bedeuten,0,0,0
haftbar,Haften,0,0,0
verursacht,Ursache,0,0,0
zurückgeführt,Führen,0,0,0
schädigt,Schaden,0,0,1
zeigen,Zeigen,0,0,0
entstandene,Entstehen,0,0,0
zeigt,Zeigen,0,0,0
klimabedingtes,Klimabedingt,0,0,0
Grund,Grund,0,0,0
beschleunigten,Beschleunigung,1,0,0
verursachen,Ursache,0,0,0
Griff,Griff,0,0,1
wenn,Wenn,0,0,0
Verschwinden,Verschwinden,0,0,1
Zusammenhang,Zusammenhang,0,0,0
Signalen,Signal,0,0,0
Ende,Enden,0,0,1
Folgen,Folge,0,0,0
zugrundegeht,Zugrunde,0,0,1
stattfindet,Stattfinden,0,0,0
ausrichten,Ausrichten,0,0,0
mitverantwortlich,Verantwortung,1,0,0
Hauptsündern,Sünder,0,0,0
Auswirkungen,Wirkung,0,0,0
beteiligt,Teil,1,0,0
gestoppt,Stoppen,0,0,1
ziehe,Ziehen,0,0,0
abzugelten,Abgelten,0,0,0
zugeschrieben,Zuschreiben,0,0,0
auslösen,Auslösen,0,0,0
wächst,Wachsen,1,0,0
Gefährdung,Gefahr,0,0,1
gemachte,Machen,0,0,0
befördert,Fördern,1,0,0
führten,Führen,0,0,0
Ursache,Ursache,0,0,0
Folge,Folge,0,0,0
weil,Weil,0,0,0
Betroffenen,Betreffen,0,0,1
mit,Mit,0,0,0
gegen,Gegen,0,0,1
trägt,Beitrag,1,0,0
gekommen,Kommen,0,0,0
Kampf,Kampf,0,0,1
betroffen,Betreffen,0,0,1
Ursachen,Ursache,1,0,0
bedroht,Bedrohen,0,0,1
bedeuten,Bedeuten,0,0,0
betroffenen,Betreffen,0,0,1
tragen,Beitrag,0,0,0
Mitverursacher,Ursache,1,0,0
damit,Damit,0,0,0
schuld,Schuld,0,0,0
Faktor,Faktor,1,0,0
Hauptfaktoren,Faktor,0,1,0
Vorgehen,Vorgehen,0,0,0
hält,Aufhalten,0,0,0
aufgehalten,Aufhalten,0,0,0
zwingt,Zwingen,0,0,0
Lage,Lage,0,0,0
entstehen,Entstehen,0,0,0
wegen,Wegen,0,0,0
Auswirkung,Wirkung,0,0,0
anhält,Halten,0,0,0
da,Da,0,0,0
Ausgang,Ausgang,0,0,0
unvermindert,Mindern,0,0,0
stoppen,Stoppen,0,0,1
aufzuhalten,Aufhalten,0,0,1
hervorgerufene,Hervorrufen,0,0,0
verschärfen,Schärfen,1,0,0
verhindern,Hindern,0,0,1
Sündenregister,Sünder,0,0,1
Ergebnisse,Ergebnis,0,0,0
Angesichts,Angesicht,0,0,0
reift,Reifen,0,0,0
Einhalt,Halten,0,0,1
treiben,Antreiben,0,0,0
fördert,Fördern,1,0,0
ausgelöst,Auslösen,0,0,0
Durch,Durch,0,0,0
produziert,Produzieren,0,0,0
für,Für,0,0,0
somit,Somit,0,0,0
Gefahren,Gefahr,0,0,1
Blick,Blick,0,0,0
Hauptgrund,Grund,0,0,0
beiträgt,Beitrag,1,0,0
hauptverantwortlich,Verantwortung,0,1,0
mitverursachten,Ursache,1,0,0
Anlaß,Anlaß,0,0,0
Opfer,Opfer,0,0,0
geführt,Führen,0,0,0
macht,Machen,0,0,0
zusammenpassen,Zusammenhang,0,0,0
beenden,Enden,0,0,1
Bekämpfung,Kampf,0,0,1
tun,Tun,0,0,0
Hintergrund,Grund,0,0,0
entgegengewirkt,Wirkung,0,0,1
angesichts,Angesicht,0,0,0
getroffen,Betreffen,0,0,1
bewirkt,Wirkung,0,0,0
Beteiligung,Teil,1,0,0
trotz,Trotz,0,0,0
Beschleunigungsprogramm,Beschleunigung,1,0,0
Mitursache,Ursache,0,0,0
Beitrag,Beitrag,1,0,0
Hauptursache,Ursache,0,0,0
gelöst,Lösen,0,0,1
verursachten,Ursache,0,0,0
beheben,Heben,0,0,1
vorangetrieben,Antreiben,0,0,0
beeinflußt,Einfluss,1,0,0
bedrohlich,Bedrohen,0,0,1
verursachte,Ursache,0,0,0
Schuld,Schuld,0,0,0
vorantreibt,Antreiben,1,0,0
nehmen,Nehmen,0,0,0
Symptome,Symptom,0,0,0
Schub,Schub,0,0,0
begegnet,Begegnen,0,0,1
ausgelöste,Auslösen,0,0,0
beim,Bei,0,0,0
leidet,Leiden,1,0,1
führen,Führen,0,0,0
Stellung,Stellung,0,0,0
Kosten,Kosten,0,0,0
Bedrohung,Bedrohen,0,0,1
Gegen,Gegen,0,0,1
Hauptverursacher,Ursache,0,1,0
Schuldige,Schuld,0,0,0
gebracht,Bringen,0,0,0
Erfindung,Erfinden,0,0,0
denkbar,Denkbar,0,0,0
offenbart,Offenbaren,0,0,0
ob,Ob,0,0,0
fortzusetzen,Fortsetzen,0,0,0
Hause,Haus,0,0,0
Beeinträchtigungen,Beeinträchtigung,1,0,0
Gründe,Grund,1,0,0
aufgrund,Grund,0,0,0
hinausläuft,Laufen,0,0,0
aus,Aus,0,0,0
gemacht,Machen,0,0,0
einschränken,Einschränken,1,0,1
Preis,Preis,0,0,0
gebiert,Gebären,0,0,0
Hauptschuldige,Schudd,0,1,0
Verantwortlich,Verantwortung,0,1,0
vorgeht,Vorgehen,0,0,0
Teilaspekt,Aspekt,1,0,0
wie,Wie,0,0,0
bestimmen,Bestimmen,0,0,0
erzwungen,Zwingen,0,0,0
verantwortlichen,Verantwortung,0,0,0
Aufgrund,Grund,0,0,0
zurück,Führen,0,0,0
ist,Ist,0,0,0
führte,Führen,0,0,0
betrifft,Betreffen,0,0,1
gelegen,Liegen,0,0,0
beträfe,Bestrafen,0,0,1
also,Also,0,0,0
Allheilmittel,Mittel,0,0,0
Verursacherkosten,Ursache,0,0,0
Anzeichen,Zeichen,0,0,0
gehen,Gehen,0,0,0
Freibrief,Freibrief,0,0,0
sonst,Sonst,0,0,0
beschädigt,Schaden,1,0,1
ausgewirkt,Wirkung,0,0,0
erfolgt,Folge,0,0,0
löst,Auslösen,0,0,0
löste,Auslösen,0,0,0
deswegen,Wegen,0,0,0
begegnen,Begegnen,0,0,1
Trendwende,Wende,0,0,0
Anpassungen,Anpassung,0,0,0
Falls,Falls,0,0,0
bedrohen,Bedrohen,0,0,1
entfallen,Fallen,0,0,1
rafft,Raffen,0,0,1
trage,Tragen,1,0,0
mediengemachte,Machen,0,0,0
Irrtum,Irrtum,0,0,0
Problem,Problem,0,0,0
Alarmsignal,Signal,0,0,0
erschütterten,Erschüttern,0,0,0
mittels,Mittel,0,0,0
bremst,Bremsen,0,0,0
beigetragen,Beitrag,1,0,0
Schlüsselstellung,Stellung,0,1,0
Verursacherbereich,Ursache,0,0,0
findet,Finden,0,0,0
enthalten,Halten,0,0,0
Reaktion,Reagieren,0,0,1
bedingen,Bedingen,0,0,0
ausgeblieben,Ausbleiben,0,0,1
sensibilisiert,Sensibilisieren,0,0,0
Grundpfeiler,Pfeiler,0,0,0
Auslöser,Auslösen,0,0,0
machte,Machen,0,0,0
bremsen,Bremsen,1,0,0
führt,Führen,0,0,0
stemmt,Stemmen,0,0,1
Maßnahmen,Maßnahme,0,0,0
entgegenwirken,WIrkung,0,0,0
gestört,Stören,0,0,1
steckt,Stecken,0,0,0
Hauptschuldigen,Schuld,0,0,0
vernichtet,Vernichten,0,0,1
nachdem,Nach,0,0,0
bekämpfen,Kampf,0,0,1
beschleunigen,Beschleunigung,1,0,0
Fakten,Fakt,0,0,0
reagiert,Reagieren,0,0,1
aufrüttelte,Aufrütteln,0,0,0
hervorriefen,Hervorrufen,0,0,0
Einfluss,Einfluss,0,0,0
erkennen,Erkennen,0,0,0
erklären,Erklären,0,0,0
Gang,Gehen,0,0,0
erhöhen,Erhöhen,1,0,0
reduziert,Reduzieren,1,0,1
folgt,Folge,0,0,0
Anstoß,Anstoß,0,0,0
zusammenhängen,Zusammenhang,0,0,0
vernichteten,Vernichten,0,0,1
folgenschwerer,Folge,0,1,0
folgen,Folge,0,0,0
erklärt,Erklären,0,0,0
anzusetzen,Ansetzen,1,0,0
Bekämpften,Kampf,0,0,1
sinken,Sinken,0,0,0
steht,Stehen,0,0,0
verursachter,Ursache,0,0,0
kommen,Kommen,0,0,0
verwandelt,Verwandeln,0,0,0
liegt,Liegen,0,0,0
Einwirkung,Wirkung,0,0,0
setzt,Setzen,0,0,0
Herr,Herr,0,0,1
Hauptsünder,Sünder,0,0,0
einzudämmen,Dämmen,1,0,1
verstärkt,Stärken,1,0,0
deshalb,Deshalb,0,0,0
reagierten,Reagieren,0,0,0
aufhalten,Aufhalten,0,0,0
auslösten,Auslösen,0,0,0
verringern,Verringern,1,0,1
verschwindet,Verschwinden,0,0,1
nach,Nach,0,0,0
andersherum,Herum,0,0,0
Wirkungen,Wirkung,0,0,0
sorgte,Sorge,0,0,0
begünstigen,Begünstigen,1,0,0
hatten,Haben,0,0,0
reduzieren,Reduzieren,1,0,1
Faktoren,Faktor,1,0,0
Schlüsselfaktor,Faktor,0,1,0
vorzugehen,Vorgehen,0,0,1
resultieren,Resultat,0,0,0
Wenn,Wenn,0,0,0
überrollt,Überrollen,0,0,1
uneingeschränkt,Einschränken,1,0,0
zurückzuführen,Führen,0,0,0
aufgetreten,Auftreten,0,0,0
Verbindung,Verbindung,0,0,0
verbessern,Verbessern,1,0,1
leiden,Leiden,1,0,1
verbieten, Verbot, 0,0,1
Erklärung,Erklären,0,0,0
kam,Kommen,0,0,0
resultierenden,Resultat,0,0,0
drohten,Drohen,0,0,0
kämpft,Kampf,0,0,1
Bedeutung,Bedeuten,0,0,0
entstehe,Entstehen,0,0,0
sei,Sei,0,0,0
begann,Beginnen,0,0,0
gehandelt,Handeln,0,0,0
Verantwortung,Verantwortung,0,0,0
Kampagne,Kampagne,0,0,0
Spur,Spur,0,0,0
bekommen,Bekommen,0,0,0
Verlust,Verlieren,0,0,1
Hauptursachen,Ursache,0,1,0
Gefahr,Gefahr,0,0,1
heißt,Heißen,0,0,0
beeinträchtigen,Beeinträchtigung,1,0,1
drohte,Drohen,0,0,1
dass,Dass,0,0,0
umkehren,Umkehren,0,0,0
verlorengingen,Verlieren,0,0,1
brachte,Bringen,0,0,0
gipfelt,Gipfeln,0,0,0
bereitet,Bereiten,0,0,0
setzte,Setzen,0,0,0
bereitete,Bereiten,0,0,0
machten,Machen,0,0,0
zugrunde,Liegen,0,0,0
Plan,Plan,0,0,0
mitverursachen,Ursache,1,0,0
entgegenzuwirken,Wirkung,0,0,1
finanzieren,Finanzieren,0,0,0
entfaltet,Entfalten,0,0,0
lasten,Belasten,0,0,0
mitzuverursachen,Ursache,1,0,0
Risiken,Risiko,0,0,0
zu tun,Tun,0,0,0
anzulasten,Anlasten,0,0,0
Führt,Führen,0,0,0
verursacht(e),Ursache,0,0,0
sorgen,Sorge,0,0,0
geschaffen,Schaffen,0,0,0
Einflüsse,Einfluss,1,0,0
aber,Aber,0,0,0
verloren,Verlieren,0,0,1
fördere,Fördern,1,0,0
Hauptschuld,Schuld,0,1,0
Gange,Gehen,0,0,0
Konsequenzen,Konsequenz,0,0,0
geht,Gehen,0,0,0
seit,Seit,0,0,0
fällt,Fallen,0,0,0
Geburtshelfer,Gebären,0,0,0
Alarmzeichen,Zeichen,0,0,0
Beleg,Beleg,0,0,0
Begrabt,Begraben,0,0,0
erreicht,Erreichen,0,0,0
erzeugte,Erzeugen,0,0,0
Tropfen,Tropfen,0,0,0
auswirken,Wirkung,0,0,0
Schutz,Schutz,0,0,0
lässt,Lassen,0,0,0
ging,Gehen,0,0,0
vernichte,Vernichten,0,0,1
gegeben,Geben,0,0,0
Signaturen,Signatur,0,0,0
trügen,Tragen,0,0,0
Schuld .,Schuld,0,0,0
Spuren,Spur,0,0,0
Trägt,Tragen,0,0,0
kämpfen,Kampf,0,0,1
geben,Geben,0,0,0
Treiber,Treiben,1,0,0
Konsequenz,Konsequenz,0,0,0
Emissionsbeiträge,Beitrag,1,0,0
Auftrieb,Treiben,1,0,0
War,Kampf,0,0,0
behandeln,Behandeln,0,0,0
verantwortet,Verantwortung,0,0,0
Verschärfung,Schärfen,1,0,0
anzuschreiben,Schreiben,0,0,0
Pläne,Plan,0,0,0
Hauptgründe,Grund,1,1,0
Mitschuld,Schuld,1,0,0
Schluss,Schluss,0,0,0
Belastung,Belasten,1,0,1
lösen,Auslösen,0,0,0
Bremse,Bremsen,1,0,1
zum,Zum,0,0,0
gefördert,Fördern,1,0,0
kämpften,Kampf,0,0,1
akzeptieren,Akzeptieren,0,0,0
bestäuben,Bestäuben,0,0,0
verursache,Ursache,0,0,0
Folgekosten,Kosten,0,0,0
Hauptverantwortlichen,Verantwortung,0,1,0
sperren,Sperren,0,0,1
kümmern,Kümmern,0,0,0
getan,Tun,0,0,0
verändert,Verändern,0,0,0
Seite,Seite,0,0,0
sorgt,Sorge,0,0,0
abgewendet,Wende,0,0,1
beeinträchtigt,Beeinträchtigung,1,0,1
erfasst,Erfassen,0,0,1
erfasste,Erfassen,0,0,1
menschengemachte,Machen,0,0,0
Ammoniak-Ausstoß,Ausstoß,0,0,0
erfordert,Fordern,0,0,0
trifft,Treffen,0,0,1
beitrug,Beitrag,0,0,0
erzeugt,Erzeugen,0,0,0
raubte,Rauben,0,0,1
einzuhegen,Einhegen,1,0,1
organisierst,Organisieren,0,0,0
verschärft,Verschärfen,1,0,0
Kollateralschäden,Schaden,0,0,1
Verursacher,Ursache,0,0,0
Antreiber,Treiben,1,0,0
Hauptschuldiger,Schuld,0,0,0
dahintersteckt,Stecken,0,0,0
machbar,Machen,0,0,0
lindern,Lindern,0,0,1
zu,Zu,0,0,0
verantwortungsvolle,Verantwortung,0,0,0
verarmt,Verarmen,0,0,0
beendete,Beenden,0,0,1
Dimension,Dimension,0,0,0
Haupttreiber,Treiben,1,0,0
wirkt,Wirkung,0,0,0
nötig,Nötigen,0,0,0
gebietet,Gebieten,0,0,0
ändern,Ändern,0,0,0
bringt,Bringen,0,0,0
selbstgemacht,Machen,0,0,0
einleiten,Leiten,0,0,0
Produkt,Produzieren,0,0,0
wundern,Wundern,0,0,0
Rolle,Rolle,1,0,0
geschuldet,Schuld,0,0,0
um,Um,0,0,0
Mittel,Mittel,0,0,0
Mitverantwortung,Verantwortung,0,0,0
wirksam,Wirkung,0,0,0
geholfen,Helfen,1,0,0
gefährdet,Gefahr,0,0,1
schockiert,Schocken,0,0,0
betraf,Treffen,0,0,1
Treibstoffen,Treiben,0,0,0
brauchst,Brauchen,0,0,0
stoppten,Stoppen,0,0,1
stießen,Stoßen,0,0,0
bei,Beitrag,0,0,0
endet,Beenden,0,0,1
Antwort,Antwort,0,0,0
anrichten,Richten,0,0,0
Bedroht,Drohen,0,0,1
ankündigt,Ankündigen,0,0,0
Hebel,Hebel,0,0,0
treibt,Treiben,1,0,0
Gegensatz,Gegen,0,0,1
Anteile,Teil,1,0,0
verhindert,Hindern,0,0,1
machen,Machen,0,0,0
sondern,Sondern,0,0,0
Nach,Nach,0,0,0
Vorschub,Schieben,1,0,0
resultiert,Resultieren,0,0,0
Lösungsmöglichkeit,Lösung,0,0,1
mediengemachte,Machen,0,0,0
mitfinanziert,Finanziert,1,0,0
Ideallösung,Lösung,0,0,1
auswirkt,Wirkung,0,0,0